wavelength,species,ep,gf,HIP58067,HIP58073,HIP62596,HIP62596B,HIP89270,HIP89275,HIP99727,HIP99729,iris
5052.167,6.0,7.685,-1.304,9.8,2.2,117.5,45.0,39.4,27.3,35.7,26.5,33.8
5380.3369,6.0,7.685,-1.615,11.3,10.0,28.6,30.1,21.3,19.7,29.5,29.2,18.9
6587.6099,6.0,8.537,-1.021,5.0,1.8,20.4,16.5,16.5,9.1,19.3,18.8,12.8
7111.469,6.0,8.64,-1.074,6.5,5.4,12.8,13.7,9.6,9.0,15.9,13.8,9.6
7113.1792,6.0,8.647,-0.762,14.3,14.9,30.2,31.6,24.2,20.1,34.2,33.4,21.2
7115.17,6.0,8.65,-0.93,4.5,3.1,31.9,31.7,21.7,21.8,41.0,44.5,10.9
7116.96,6.0,8.65,-0.91,11.4,10.1,27.5,26.0,18.9,19.1,27.9,29.1,20.1
7771.9438,8.0,9.146,0.352,52.1,45.4,112.1,113.9,98.1,97.3,88.5,84.7,67.5
7774.1611,8.0,9.146,0.223,50.0,42.0,97.7,95.0,85.5,85.9,79.0,75.6,62.2
7775.3901,8.0,9.146,0.002,35.7,30.5,79.9,77.6,67.1,64.5,61.8,59.3,48.1
4751.8218,11.0,2.104,-2.078,8.8,11.1,7.7,9.2,6.2,3.8,19.3,19.5,13.3
4982.82,11.0,2.1,-1.0,68.3,67.9,65.9,64.3,42.4,46.1,93.0,95.7,76.1
5148.838,11.0,2.102,-2.044,10.9,11.7,5.0,4.5,1.8,1.1,18.0,17.6,12.0
5682.64,11.0,2.1,-0.77,80.8,89.0,78.1,97.7,61.7,62.3,105.6,106.0,86.5
5688.21,11.0,2.1,-0.48,113.3,121.3,116.6,115.3,90.0,90.5,144.4,146.4,123.0
6154.2251,11.0,2.102,-1.547,30.7,35.8,28.7,28.1,16.9,18.2,54.3,56.3,38.2
6160.7471,11.0,2.104,-1.246,48.0,53.7,41.9,37.5,26.2,27.7,72.1,75.0,56.6
4730.04,12.0,4.34,-2.39,67.1,71.6,53.4,50.4,39.1,38.0,88.3,89.4,72.2
5711.0879,12.0,4.345,-1.729,105.8,112.3,93.6,91.7,73.9,75.8,117.7,120.2,105.9
6318.717,12.0,5.108,-1.945,41.2,44.9,31.4,32.7,23.1,22.0,52.2,53.9,44.3
6319.2368,12.0,5.108,-2.324,25.1,26.1,10.2,6.5,14.8,11.8,35.0,37.6,25.9
7657.61,12.0,5.11,-1.28,97.3,100.4,101.8,98.5,80.3,80.8,114.3,115.6,98.3
5557.07,13.0,3.14,-2.21,10.9,10.2,8.0,6.4,3.6,4.4,18.4,19.8,12.1
6696.0181,13.0,3.143,-1.481,35.2,37.9,31.9,28.2,15.9,17.7,55.0,56.9,37.7
6698.667,13.0,3.143,-1.782,18.7,22.6,16.3,17.5,7.5,7.1,32.5,34.2,21.0
7835.309,13.0,4.022,-0.689,36.6,37.1,30.0,27.5,18.2,18.1,55.0,58.2,41.5
7836.134,13.0,4.021,-0.45,48.8,49.0,38.9,38.1,25.4,26.8,69.5,71.8,56.5
5488.983,14.0,5.614,-1.69,14.9,15.6,19.8,9.1,5.6,4.3,32.0,31.8,12.3
5517.54,14.0,5.08,-2.496,7.3,8.3,14.6,14.1,4.0,4.1,23.3,21.6,11.4
5645.6128,14.0,4.93,-2.043,28.4,30.5,36.2,36.1,18.6,22.7,47.1,48.8,34.7
