wavelength,species,ep,gf,iris,HIP58067,HIP58073,HIP62596,HIP62596B,HIP89270,HIP89275,HIP99727,HIP99729
4445.471,26,0.087,-5.441,42,40.1,46.4,26.6,26.6,11.3,12.6,54.5,58.8
4602.001,26,1.608,-3.154,72,73.8,76.2,66.7,63.1,51.1,53.4,84.5,
4690.14,26,3.69,-1.61,58.1,56.9,59.8,56.2,57,36.3,36.1,68.1,69.7
4788.76,26,3.24,-1.73,66.3,66.1,67.9,61.6,60.7,46.9,44.5,78.4,79.8
4799.41,26,3.64,-2.13,35.3,33.4,36.3,28.3,28.7,16.3,15.8,47,
4808.15,26,3.25,-2.69,26.7,27.8,30.3,18.6,18.9,8.1,9,37.7,38.3
4950.1,26,3.42,-1.56,71.6,72.2,77.5,68.3,69.7,48.7,49,85,87
4994.129,26,0.915,-3.08,103.3,105.4,112.7,91,88.3,81.5,81.7,115.1,118.3
5141.74,26,2.42,-2.23,89.2,85.3,91.4,77.9,76.9,65.3,62,,
5198.71,26,2.22,-2.14,98.5,102,109.4,88.7,88.5,74.5,73.7,109.8,114
5225.525,26,0.11,-4.789,70.4,73.2,77.8,51.2,52,41.4,40.6,81.4,85.6
5242.49,26,3.63,-0.99,85.7,84.5,86.4,80.4,80.8,65.5,64.6,96.2,98.2
5247.05,26,0.087,-4.961,65,64.4,69,47,45.2,,,,
5295.31,26,4.42,-1.59,29.8,27.7,29,25,24.5,12.3,13,39.8,40.5
5322.04,26,2.28,-2.89,60.6,60.5,61.7,53.3,53.9,35.8,36.1,71.4,76.3
5373.71,26,4.47,-0.74,63.3,62.1,65.4,60.1,61.9,41.3,41,73.8,75.3
5379.57,26,3.69,-1.51,62.3,59.6,63.5,55,55.3,37,36.6,72.5,76.1
5386.33,26,4.15,-1.67,32.6,30.1,33,27.4,28.6,14.1,14.9,44.1,44.5
5441.34,26,4.31,-1.63,31.9,29.1,32.2,26.5,27.3,13.7,13,43,44.3
5466.396,26,4.371,-0.565,76.6,78.9,82.1,75.7,76.2,57.8,56.4,86.4,87
5466.987,26,3.573,-2.23,34.5,32.8,36.6,29.7,28,17.4,16.7,47.8,49.7
5491.832,26,4.186,-2.188,12.8,12.1,14.3,9.7,9.7,5.1,5.2,20.4,22.2
5554.89,26,4.55,-0.36,97,92.9,97.7,91.2,90.8,62.2,62.4,112.4,113.4
5560.21,26,4.43,-1.09,52.2,50.9,54.5,52,49.8,23.6,23.1,64,68
5618.63,26,4.21,-1.27,50.5,49.7,49.8,47.1,45.9,28.4,29.4,62.5,63.4
5638.26,26,4.22,-0.77,77.9,76.8,80.1,71,70.5,51.4,52.4,88.1,90.1
5651.469,26,4.473,-1.75,18.6,16.8,19.5,16.8,17.1,8.9,8.2,26.7,29.4
5679.023,26,4.652,-0.75,59.6,56.8,59.8,55.9,55.9,34.3,34.3,70.5,70.6
5701.544,26,2.559,-2.163,84.5,82.3,86.8,69.2,67.5,55.4,53.4,94.4,96.4
5705.464,26,4.301,-1.355,38.9,36.2,39.2,31.7,31.1,17.2,17.9,49.4,50.7
